# Conflict Data Audit Report
For each flight, all conflicts it is involved in are listed.
Columns: Source | Flight | Aircraft Type | Departure Time | Time (UTC) | Lat | Lon | Alt | Altitude Diff | Distance
Note: Departure Time column shows scheduled departure times to verify scheduling algorithm accuracy.

## Flight: FLT0001
### Conflict with FLT0018 (Conflict 1)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0007      | PC12         | 1431           | 19           | -36.60493  | 146.12933  |   19000 |              0 | 2.85      |
| interpolated_points      | FLT0007      | PC12         | 1431           | 1457         | -36.60493  | 146.12933  |   19000 |              0 | N/A       |
| animation_data           | FLT0007      | PC12         | 1431           | 1457         | -36.60493  | 146.12933  |   19000 |              0 | N/A       |

## Flight: FLT0008
### Conflict with FLT0005 (Conflict 7)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0008      | BE20         | 1400           | 12           | -36.97765  | 149.28930  |   19119 |            881 | 2.68      |
| interpolated_points      | FLT0008      | BE20         | 1400           | 1411         | -36.97765  | 149.28930  |   19119 |              0 | N/A       |
| animation_data           | FLT0008      | BE20         | 1400           | 1411         | -36.97765  | 149.28930  |   19119 |              0 | N/A       |

### Conflict with FLT0012 (Conflict 10)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0008      | BE20         | 1400           | 11           | -37.29374  | 145.68468  |   19700 |            700 | 2.99      |
| interpolated_points      | FLT0008      | BE20         | 1400           | 1456         | -37.29374  | 145.68468  |   19700 |              0 | N/A       |
| animation_data           | FLT0008      | BE20         | 1400           | 1456         | -37.29374  | 145.68468  |   19700 |              0 | N/A       |

## Flight: FLT0009
### Conflict with FLT0002 (Conflict 3)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0009      | BE9L         | 1446           | 43           | -34.74846  | 149.40708  |   22000 |            117 | 2.32      |
| interpolated_points      | FLT0009      | BE9L         | 1446           | 1529         | -34.74846  | 149.40708  |   22000 |              0 | N/A       |
| animation_data           | FLT0009      | BE9L         | 1446           | 1529         | -34.74846  | 149.40708  |   22000 |              0 | N/A       |

### Conflict with FLT0010 (Conflict 11)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0009      | BE9L         | 1446           | 14           | -36.26317  | 149.75150  |   22000 |            759 | 2.10      |
| interpolated_points      | FLT0009      | BE9L         | 1446           | 1503         | -36.26317  | 149.75150  |   22000 |              0 | N/A       |
| animation_data           | FLT0009      | BE9L         | 1446           | 1503         | -36.26317  | 149.75150  |   22000 |              0 | N/A       |

### Conflict with FLT0017 (Conflict 12)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0009      | BE9L         | 1446           | 27           | -33.42618  | 149.13507  |    6861 |            347 | 2.72      |
| interpolated_points      | FLT0009      | BE9L         | 1446           | 1554         | -33.42618  | 149.13507  |    6861 |              0 | N/A       |
| animation_data           | FLT0009      | BE9L         | 1446           | 1554         | -33.42618  | 149.13507  |    6861 |              0 | N/A       |

## Flight: FLT0010
### Conflict with FLT0009 (Conflict 11)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0010      | DH8D         | 1451           | 14           | -36.22901  | 149.74245  |   21241 |            759 | 2.10      |
| interpolated_points      | FLT0010      | DH8D         | 1451           | 1505         | -36.22901  | 149.74245  |   21241 |              0 | N/A       |
| animation_data           | FLT0010      | DH8D         | 1451           | 1505         | -36.22901  | 149.74245  |   21241 |              0 | N/A       |

### Conflict with FLT0011 (Conflict 13)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0010      | DH8D         | 1451           | 28           | -34.95557  | 149.45206  |   20462 |            722 | 2.59      |
| interpolated_points      | FLT0010      | DH8D         | 1451           | 1519         | -34.95557  | 149.45206  |   20462 |              0 | N/A       |
| animation_data           | FLT0010      | DH8D         | 1451           | 1519         | -34.95557  | 149.45206  |   20462 |              0 | N/A       |

### Conflict with FLT0017 (Conflict 14)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0010      | DH8D         | 1451           | 27           | -33.42702  | 149.13529  |    5976 |            538 | 2.74      |
| interpolated_points      | FLT0010      | DH8D         | 1451           | 1537         | -33.42702  | 149.13529  |    5976 |              0 | N/A       |
| animation_data           | FLT0010      | DH8D         | 1451           | 1537         | -33.42702  | 149.13529  |    5976 |              0 | N/A       |

## Flight: FLT0011
### Conflict with FLT0005 (Conflict 8)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0011      | B38M         | 1442           | 22           | -36.37286  | 148.93802  |   19000 |            888 | 2.85      |
| interpolated_points      | FLT0011      | B38M         | 1442           | 1504         | -36.37286  | 148.93802  |   19000 |              0 | N/A       |
| animation_data           | FLT0011      | B38M         | 1442           | 1504         | -36.37286  | 148.93802  |   19000 |              0 | N/A       |

### Conflict with FLT0010 (Conflict 13)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0011      | B38M         | 1442           | 28           | -34.99551  | 149.43192  |   19740 |            722 | 2.59      |
| interpolated_points      | FLT0011      | B38M         | 1442           | 1519         | -34.99551  | 149.43192  |   19740 |              0 | N/A       |
| animation_data           | FLT0011      | B38M         | 1442           | 1519         | -34.99551  | 149.43192  |   19740 |              0 | N/A       |

### Conflict with FLT0017 (Conflict 15)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0011      | B38M         | 1442           | 14           | -33.73296  | 150.29049  |   11200 |            800 | 2.05      |
| interpolated_points      | FLT0011      | B38M         | 1442           | 1535         | -33.73296  | 150.29049  |   11200 |              0 | N/A       |
| animation_data           | FLT0011      | B38M         | 1442           | 1535         | -33.73296  | 150.29049  |   11200 |              0 | N/A       |

### Conflict with FLT0018 (Conflict 16)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0011      | B38M         | 1442           | 24           | -34.70958  | 149.66811  |   19481 |            519 | 2.61      |
| interpolated_points      | FLT0011      | B38M         | 1442           | 1522         | -34.70958  | 149.66811  |   19481 |              0 | N/A       |
| animation_data           | FLT0011      | B38M         | 1442           | 1522         | -34.70958  | 149.66811  |   19481 |              0 | N/A       |

### Conflict with FLT0019 (Conflict 17)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
