# Conflict Data Audit Report
For each flight, all conflicts it is involved in are listed.
Columns: Source | Flight | Aircraft Type | Departure Time | Time (UTC) | Lat | Lon | Alt | Altitude Diff | Distance
Note: Departure Time column shows scheduled departure times to verify scheduling algorithm accuracy.

## Flight: FLT0001
### Conflict with FLT0018 (Conflict 1)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0018      | DH8D         | 1458           | 5            | -34.03588  | 151.08807  |    5333 |             95 | 0.00      |
| interpolated_points      | FLT0018      | DH8D         | 1458           | 1502         | -34.03588  | 151.08807  |    5333 |              0 | N/A       |
| animation_data           | FLT0018      | DH8D         | 1458           | 1502         | -34.03588  | 151.08807  |    5333 |              0 | N/A       |

### Conflict with FLT0020 (Conflict 23)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0018      | DH8D         | 1458           | 4            | -35.12795  | 147.64615  |    5391 |            141 | 2.01      |
| interpolated_points      | FLT0018      | DH8D         | 1458           | 1546         | -35.12795  | 147.64615  |    5391 |              0 | N/A       |
| animation_data           | FLT0018      | DH8D         | 1458           | 1546         | -35.12795  | 147.64615  |    5391 |              0 | N/A       |

## Flight: FLT0019
### Conflict with FLT0001 (Conflict 2)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0019      | DH8D         | 1400           | 12           | -34.38600  | 150.69480  |   19440 |            560 | 2.87      |
| interpolated_points      | FLT0019      | DH8D         | 1400           | 1411         | -34.38600  | 150.69480  |   19440 |              0 | N/A       |
| animation_data           | FLT0019      | DH8D         | 1400           | 1411         | -34.38600  | 150.69480  |   19440 |              0 | N/A       |

### Conflict with FLT0011 (Conflict 17)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0019      | DH8D         | 1400           | 24           | -34.72550  | 149.71738  |   20000 |            519 | 2.61      |
| interpolated_points      | FLT0019      | DH8D         | 1400           | 1424         | -34.72550  | 149.71738  |   20000 |              0 | N/A       |
| animation_data           | FLT0019      | DH8D         | 1400           | 1424         | -34.72550  | 149.71738  |   20000 |              0 | N/A       |

### Conflict with FLT0016 (Conflict 21)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0019      | DH8D         | 1400           | 7            | -34.41402  | 150.64874  |   20000 |            823 | 1.75      |
| interpolated_points      | FLT0019      | DH8D         | 1400           | 1412         | -34.41402  | 150.64874  |   20000 |              0 | N/A       |
| animation_data           | FLT0019      | DH8D         | 1400           | 1412         | -34.41402  | 150.64874  |   20000 |              0 | N/A       |

### Conflict with FLT0018 (Conflict 22)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0019      | DH8D         | 1400           | 5            | -34.03588  | 151.08807  |    5238 |             95 | 0.00      |
| interpolated_points      | FLT0019      | DH8D         | 1400           | 1404         | -34.03588  | 151.08807  |    5238 |              0 | N/A       |
| animation_data           | FLT0019      | DH8D         | 1400           | 1404         | -34.03588  | 151.08807  |    5238 |              0 | N/A       |

### Conflict with FLT0020 (Conflict 24)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0019      | DH8D         | 1400           | 4            | -35.12795  | 147.64615  |    5391 |            141 | 2.01      |
| interpolated_points      | FLT0019      | DH8D         | 1400           | 1448         | -35.12795  | 147.64615  |    5391 |              0 | N/A       |
| animation_data           | FLT0019      | DH8D         | 1400           | 1448         | -35.12795  | 147.64615  |    5391 |              0 | N/A       |

## Flight: FLT0020
### Conflict with FLT0018 (Conflict 23)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0020      | DH8D         | 1542           | 4            | -35.11524  | 147.60839  |    5250 |            141 | 2.01      |
| interpolated_points      | FLT0020      | DH8D         | 1542           | 1546         | -35.11524  | 147.60839  |    5250 |              0 | N/A       |
| animation_data           | FLT0020      | DH8D         | 1542           | 1546         | -35.11524  | 147.60839  |    5250 |              0 | N/A       |

### Conflict with FLT0019 (Conflict 24)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0020      | DH8D         | 1542           | 4            | -35.11524  | 147.60839  |    5250 |            141 | 2.01      |
| interpolated_points      | FLT0020      | DH8D         | 1542           | 1546         | -35.11524  | 147.60839  |    5250 |              0 | N/A       |
| animation_data           | FLT0020      | DH8D         | 1542           | 1546         | -35.11524  | 147.60839  |    5250 |              0 | N/A       |

